ID,Nombre del Producto,Categoría,Modelo / Marca,Color,Características,Detalle extendido,Precio Oficial,Precio mínimo
42,Proyector Android 8K,Tecnología,Genérico / Android 14.0,Blanco,Proyector inteligente con Android 14 y WiFi.,"Proyector inteligente que cuenta con sistema operativo Android 14 y conexión WiFi integrada, ideal para cine en casa sin necesidad de cables extra.",950,950
43,Difusor Humidificador Aromaterapia,Hogar,Genérico,Blanco,Humidificador con luz nocturna y control remoto.,Humidificador decorativo que incluye luz nocturna y control remoto para un manejo a distancia cómodo.,130,130
44,Barra de Sonido para PC,Audio,SENZER CS30,Negro,Altavoz de escritorio con iluminación RGB.,"Altavoz de escritorio diseñado para gamers o setups de PC, destacando por su iluminación dinámica RGB.",180,190
45,Aro de Luz con Soporte Superior,Tecnología,Pozliv p-light / AIXPI,Negro/Blanco,Brazo articulado para tomas cenitales y streaming.,"Sistema de iluminación con brazo articulado, diseñado específicamente para realizar tomas cenitales (desde arriba) y transmisiones de streaming.",180,180
46,Ondulador de Cabello Compacto,Cuidado Personal,TYMO ROVY,Rosa,Plancha para ondas de cabello tamaño compacto.,"Plancha para crear ondas en el cabello con un diseño de tamaño súper compacto, ideal para llevar en el bolso o de viaje.",260,400
47,Vaporizador Facial,Cuidado Personal,VAM (NTFS),Blanco/Morado,Vaporizador para limpieza facial.,Herramienta de cuidado personal para limpieza facial profunda mediante vaporización.,160,140
48,Almohadilla Térmica con Peso,Cuidado Personal,Comfytemp,Gris/Azul,Manta térmica con control de temperatura.,Manta térmica que incluye control de temperatura ajustable y cuenta con peso adicional para brindar una mayor sensación de relajación.,320,320
49,Estación de Carga Inalámbrica 3 en 1,Tecnología,HM730CCS,Negro,Cargador para teléfono reloj y audífonos.,"Base de carga múltiple que permite cargar simultáneamente un teléfono, un reloj inteligente y audífonos.",190,170
50,Luces LED para Gabinete,Hogar,LOOPTO,Blanco,Luces con sensor y control remoto.,Sistema de iluminación para muebles o gabinetes que se activa mediante sensor e incluye control remoto.,140,180
51,Micrófono USB Condensador,Tecnología,Genérico,Negro,Micrófono para PC/Streaming.,"Micrófono de condensador con conexión USB plug-and-play, optimizado para uso en PC, grabaciones o streaming.",270,250
52,Medidor de Humedad sin Clavos,Herramientas,Proster PST221,Negro/Naranja,Medidor de humedad para madera y paredes.,Herramienta de medición no destructiva (pinless) para calcular la humedad superficial en madera y paredes sin perforar el material.,290,250
53,Almohadilla Térmica Eléctrica (Tapete que calienta),Salud / Cuidado Personal,Comfytemp,Gris,Manta térmica eléctrica con control de temperatura para alivio muscular.,"Tapete eléctrico con control de temperatura, diseñado específicamente para realizar termoterapia y brindar alivio muscular.",290,320
54,Proyector Inteligente Aurzen EAZZE D1,Tecnología,Aurzen EAZZE D1,Blanco,Proyector cine en casa con apps integradas.,Proyector para cine en casa que trae aplicaciones de streaming integradas en su sistema.,950,850
55,Quita Pelusas Eléctrico,Hogar,BEAUTURAL,Turquesa,Removedor de pelusas para ropa y muebles.,Dispositivo motorizado diseñado para remover pelusas y restaurar la textura de ropa y muebles de tela.,140,110
56,Proyector de Estrellas Astronauta,Decoración / Regalos,Genérico,Blanco,Proyecta nebulosas y estrellas verdes.,Lámpara decorativa en forma de astronauta que proyecta efectos de nebulosas y estrellas láser de color verde en paredes y techos.,170,160
57,Cámara Inteligente WiFi 2K,Seguridad / Domótica,Litokam,Negro,Cámara de vigilancia 360 grados.,Cámara de vigilancia para interiores con resolución 2K y capacidad de rotación de 360 grados para un monitoreo completo.,320,270
58,Cámara de Seguridad Exterior WiFi,Seguridad / Domótica,Septekon,Negro,Monitoreo exterior con antenas duales.,"Cámara diseñada para exteriores, equipada con antenas duales para garantizar una conexión WiFi más estable.",350,250
59,Calefactor Portátil (Portable Fan Heater),Hogar,YND-500DS,Negro/Madera,Calefactor de espacio pequeño 900W.,"Mini calefactor de 900W de potencia, ideal para calentar de forma rápida espacios pequeños.",190,160
60,Teclado Plegable Bluetooth,Tecnología,Seenda,Verde/Blanco,Teclado portátil compacto con touchpad.,Teclado portátil de diseño compacto que se dobla sobre sí mismo e integra un touchpad (panel táctil) tipo laptop.,290,220
61,Lámpara Bola de Cristal 3D (Diseño Luna),Decoración / Regalos,Genérico,Transparente/Madera,Luz decorativa grabada en láser.,Lámpara decorativa con diseño de luna grabada en láser dentro de una esfera de cristal.,90,80
62,Reloj Despertador Digital LED,Decoración / Regalos,GH 0712L,Negro,Reloj de números grandes blancos y brillo automático.,Reloj de escritorio con números blancos de gran tamaño y función de ajuste de brillo automático.,80,75
63,"Aro de Luz LED 10"" con Trípode",Tecnología / Iluminación,AIXPI / Modelo L210A,Negro (la estructura y trípode) y Blanco (el difusor del aro),"Aro de luz LED de 10 pulgadas ideal para creadores de contenido, maquillaje, videollamadas y streaming. El kit incluye un trípode de pie ajustable y un soporte interno para colocar el teléfono celular.",Aro de 10 pulgadas ideal para videollamadas o maquillaje. Incluye un trípode de pie ajustable y soporte interno para colocar el celular.,190,150
64,Lámpara de Escritorio Arte de Arena 3D,Decoración / Regalos,Genérico,Azul/Blanco,Elemento decorativo relajante con arena en movimiento.,Cuadro decorativo dinámico donde la arena en su interior fluye creando paisajes relajantes en movimiento.,100,100
