ID,Nombre del Producto,Precio Publicación (Bs.),Precio Mínimo (Bs.),Categoría,Modelo,Color,Características,Fuente de Energía,Instrucciones de Uso,Cuidados y Advertencias,Datos Curiosos
1,Reloj de Pared - Lampara de colroes - Retro de Vinilo,120,90,Decoración / Regalos,Tema Musical (Piano/Violín),Negro (Luz RGB),Reloj analógico decorativo en disco de vinilo cortado con láser. Incluye luces LED RGB.,1 Pila AA (reloj) + Enchufe USB (luz),1. Insertar pila. 2. Colgar en pared. 3. Conectar cable USB para luces.,Manejar con cuidado; el acrílico es delicado ante caídas.,Hechos reciclando o emulando discos de vinilo de 12 pulgadas.
2,Cámara PTZ Solar 4G,550,450,Seguridad / Domótica,Genérico 4G (Doble Antena),Blanco,"Cámara exterior giratoria (360°) con chip SIM 4G, visión nocturna y panel solar.",Batería interna + Panel Solar,1. Insertar chip SIM. 2. Fijar panel en lugar soleado. 3. Descargar App escaneando QR. 4. Emparejar.,Asegurar buena cobertura del operador móvil seleccionado.,Funciona totalmente aislada de la red eléctrica gracias a su panel solar.
3,Lámpara de Mesa Minimalista LED,120,90,Hogar,Desk Lamp,Plateado / Acero,Lámpara táctil inalámbrica regulable en intensidad y tono (cálida/fría).,Batería recargable USB-C,1. Cargar por USB-C. 2. Toque superior para encender/cambiar tono. 3. Mantener presionado para brillo.,No usar cargadores de carga rápida (fast charge) para cuidar la batería.,Muy popular en terrazas de restaurantes de alta gama por su estética portátil.
4,Luces LED Calabaza,60,45,Decoración / Regalos,ME3010 / Solar Flower Lights,Naranja y Negro,Estacas de jardín con calabazas iluminadas por panel solar. Resistentes al agua.,Panel Solar + Batería recargable,1. Armar estacas. 2. Encender interruptor ON. 3. Clavar en jardín expuesto al sol.,Limpiar el panel solar si se llena de polvo para no perder eficiencia.,Tienen sensor fotovoltaico: se encienden solas al anochecer y se apagan al amanecer.
5,Parlante Bola de Luces Mágica,80,60,Audio,LED Magic Ball Light,Base Negra / Cúpula Cristal,Parlante con bola de luces giratorias RGB que se mueven al ritmo de la música.,Enchufe directo 220V / USB,1. Enchufar. 2. Insertar Flash Memory o conectar vía Bluetooth. 3. Operar con control remoto.,No girar la bola plástica superior con la mano forzando el motor.,El sensor de micrófono interno ajusta el destello de la luz al ritmo del bajo.
6,Mouse Inalámbrico Tri-Modo,90,70,Tecnología,BL112,Blanco (Milky White),Mouse silencioso recargable con triple conexión (Receptor 2.4G + Bluetooth 1 y 2).,Batería recargable USB-C,1. Insertar receptor USB o cambiar switch a Bluetooth. 2. Seleccionar modo con botón de canal.,Usar sobre pad mouse para no desgastar los deslizadores inferiores.,Permite alternar de la Laptop de trabajo a la Tablet con presionar un botón.
7,Audifonos TWS ColorNow,70,50,Audio,FlyTWS 2E (ColorNow),Negro,Audífonos intraauditivos compactos con cancelación de ruido pasiva y toque táctil.,Batería Recargable (Estuche powerbank),1. Cargar estuche al 100%. 2. Sacar para auto-encendido. 3. Toques táctiles para pausar/avanzar.,Mantener limpios los pines dorados de carga en la base del estuche.,Cuentan con encendido y conexión automática apenas abres la tapa del estuche.
8,Audífonos SY-T2 Bluetooth & Wired Headset,130,100,Audio,Pure SY-T2 (Herophone),Blanco Mate,Diadema Bluetooth over-ear con almohadillas acolchadas y sonido HD.,Batería recargable USB-C,1. Mantener presionado botón de encendido. 2. Buscar 'SY-T2' en Bluetooth. 3. Ajustar tamaño.,Limpiar almohadillas con paño ligeramente húmedo; no doblar bruscamente.,Permite conexión vía cable AUX 3.5mm si te quedas sin batería.
9,Calentador de Manos + PowerBank,100,80,Hogar,Cute Pet (6000 mAh),Celeste / Varios,Accesorio portátil 2 en 1: emite calor regulable y funciona como cargador portátil.,Batería recargable 6000 mAh,1. Mantener presionado para activar calor. 2. Conectar cable USB para cargar el celular.,No usar la función de calentador mientras estés cargando la batería en el enchufe.,Alcanza temperaturas reconfortantes entre 45°C y 55°C en solo 5 segundos.
10,Audífonos TWS Ultrapods Pro,80,55,Audio,Ultrapods Pro,Negro / Transparente,"Earbuds TWS con estuche transparente futurista, pantalla digital de batería y luz LED.",Estuche de carga USB-C,1. Cargar el estuche. 2. Sacar ambos earbuds. 3. Conectar al celular por Bluetooth.,Evitar caídas del estuche acrílico para no rayar o fisurar la transparencia.,Muestra el porcentaje exacto de batería restante en número digital dentro del estuche.
11,Bola de burbuja solar Cadena de luz LED Bola de cristal,60,45,Decoración / Regalos,Esféricas tipo Burbuja,Transparente / Cable Negro,Luces de exterior cálidas/multicolor con focos tipo gota/burbuja acrílica.,Panel Solar,1. Fijar panel solar donde reciba luz directa. 2. Activar interruptor posterior. 3. Colgar guirnalda.,El panel debe recibir al menos 6 horas de sol directo para brillar toda la noche.,El acrílico burbuja es ultra resistente a caídas y granizo leve.
